variable name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2000sf1,2000sf3
male_hisp_hs,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,,P148H005
male_hisp_somecoll,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,,
male_hisp_somecoll_a,,,,,,,,,,,,,P148H006
male_hisp_somecoll_b,,,,,,,,,,,,,P148H007
male_hisp_collplus,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,,
male_hisp_collplus_a,,,,,,,,,,,,,P148H008
male_hisp_collplus_b,,,,,,,,,,,,,P148H009
female_hisp_lths,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,,
female_hisp_lths_a,,,,,,,,,,,,,P148H011
female_hisp_lths_b,,,,,,,,,,,,,P148H012
female_hisp_hs,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,,P148H013
female_hisp_somecoll,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,,
female_hisp_somecoll_a,,,,,,,,,,,,,P148H014
female_hisp_somecoll_b,,,,,,,,,,,,,P148H015
female_hisp_collplus,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,,
female_hisp_collplus_a,,,,,,,,,,,,,P148H016
female_hisp_collplus_b,,,,,,,,,,,,,P148H017
est_nev_married_m,DP02_0026,DP02_0026,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,,P018003
est_married_m,DP02_0027,DP02_0027,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,,P018004
est_separated_m,DP02_0028,DP02_0028,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,,P018007
est_widowed_m,DP02_0029,DP02_0029,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,,P018009
est_divorced_m,DP02_0030,DP02_0030,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,,P018010
est_nev_married_f,DP02_0032,DP02_0032,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,,P018012
est_married_f,DP02_0033,DP02_0033,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,,P018013
est_separated_f,DP02_0034,DP02_0034,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,,P018016
est_widowed_f,DP02_0035,DP02_0035,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,,P018018
est_divorced_f,DP02_0036,DP02_0036,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,,P018019
est_15_50_births_12mo,DP02_0037,DP02_0037,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,,
est_unmarried_15_50_births_12mo,DP02_0038,DP02_0038,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,,
est_vet_status_civilian,DP02_0070,DP02_0070,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,,P040001
est_disability_civilian,DP02_0072,DP02_0072,DP02_0071,DP02_0071,DP02_0071,DP02_0071,DP02_0071,DP02_0071,DP02_0071,DP02_0071,DP02_0071,,
est_disability_civilian_1,,,,,,,,,,,,,P042004
est_disability_civilian_2,,,,,,,,,,,,,P042007
est_disability_civilian_3,,,,,,,,,,,,,P042014
est_disability_civilian_4,,,,,,,,,,,,,P042021
est_disability_civilian_5,,,,,,,,,,,,,P042024
est_disability_civilian_6,,,,,,,,,,,,,P042028
est_disability_civilian_7,,,,,,,,,,,,,P042031
est_disability_civilian_8,,,,,,,,,,,,,P042038
est_disability_civilian_9,,,,,,,,,,,,,P042045
est_disability_civilian_10,,,,,,,,,,,,,P042048
est_not_labor,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,,
est_not_labor_a,,,,,,,,,,,,,P043008
est_not_labor_b,,,,,,,,,,,,,P043015
n_labor,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,DP03_0002,,
n_labor_a,,,,,,,,,,,,,P043003
n_labor_b,,,,,,,,,,,,,P043010
n_unemp,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,DP03_0005,,
n_unemp_a,,,,,,,,,,,,,P043007
n_unemp_b,,,,,,,,,,,,,P043014
est_ind_constr,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,,
est_ind_constr_a,,,,,,,,,,,,,P049006
est_ind_constr_b,,,,,,,,,,,,,P049033
est_ind_manufact,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,,
est_ind_manufact_a,,,,,,,,,,,,,P049007
est_ind_manufact_b,,,,,,,,,,,,,P049034
est_ind_transp,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,,
est_ind_transp_a,,,,,,,,,,,,,P049010
est_ind_transp_b,,,,,,,,,,,,,P049037
total_pop,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,P012001,
male_age0_5,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,P012003,
male_age5_9,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,P012004,
male_age10_14,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,P012005,
male_age15_17,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,P012006,
male_age18_19,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,P012007,
male_age20,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,P012008,
male_age21,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,P012009,
male_age22_24,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,P012010,
male_age25_29,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,P012011,
male_age30_34,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,P012012,
male_age35_39,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,P012013,
male_age40_44,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,P012014,
male_age45_49,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,P012015,
male_age50_54,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,P012016,
male_age55_59,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,P012017,
male_age60_61,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,P012018,
male_age62_64,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,P012019,
male_age65_66,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,P012020,
male_age67_69,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,P012021,
male_age70_74,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,P012022,
male_age75_79,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,P012023,
male_age80_84,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,P012024,
male_age85p,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,P012025,
female_age0_5,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,P012027,
female_age5_9,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,P012028,
female_age10_14,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,P012029,
female_age15_17,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,P012030,
female_age18_19,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,P012031,
female_age20,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,P012032,
female_age21,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,P012033,
female_age22_24,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,P012034,
female_age25_29,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,P012035,
female_age30_34,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,P012036,
female_age35_39,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,P012037,
female_age40_44,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,P012038,
female_age45_49,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,P012039,
female_age50_54,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,P012040,
female_age55_59,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,P012041,
female_age60_61,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,P012042,
female_age62_64,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,P012043,
female_age65_66,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,P012044,
female_age67_69,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,P012045,
female_age70_74,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,P012046,
female_age75_79,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,P012047,
female_age80_84,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,P012048,
female_age85p,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,P012049,
av_hh_size,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,P017001,
med_earn,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,,P085001
pov,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,,P087002
soc_security,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,,P062002
supp_security,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,,P063002
fam_marr_couple,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,,P016002
female_hh,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,,P016019
male_hh,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,,P016011
med_inc_fam_marr_couple,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,,PCT040002
med_inc_fam_female,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,,PCT040009
med_inc_fam_male,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,,PCT040006
p_est_labor_white,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_010,S2301_C02_010,S2301_C02_010,S2301_C02_010,S2301_C02_010,,
p_est_labor_black,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_011,S2301_C02_011,S2301_C02_011,S2301_C02_011,S2301_C02_011,,
p_est_labor_aian,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_012,,
p_est_labor_asian,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_013,,
p_est_labor_nhopi,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_014,,
p_est_labor_other,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_015,,
p_est_labor_multi,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_016,,
p_est_labor_hisp,S2301_C02_019,S2301_C02_019,S2301_C02_019,S2301_C02_019,S2301_C02_019,S2301_C02_019,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_017,,
p_est_labor_white_nohisp,S2301_C02_020,S2301_C02_020,S2301_C02_020,S2301_C02_020,S2301_C02_020,S2301_C02_020,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_018,,
p_est_unemp_white,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_010,S2301_C04_010,S2301_C04_010,S2301_C04_010,S2301_C04_010,,
p_est_unemp_black,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_011,S2301_C04_011,S2301_C04_011,S2301_C04_011,S2301_C04_011,,
p_est_unemp_aian,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_012,,
p_est_unemp_asian,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_013,,
p_est_unemp_nhopi,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_014,,
p_est_unemp_other,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_015,,
p_est_unemp_multi,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_016,,
p_est_unemp_hisp,S2301_C04_019,S2301_C04_019,S2301_C04_019,S2301_C04_019,S2301_C04_019,S2301_C04_019,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_017,,
p_est_unemp_white_nohisp,S2301_C04_020,S2301_C04_020,S2301_C04_020,S2301_C04_020,S2301_C04_020,S2301_C04_020,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_018,,
est_labor_white_a,,,,,,,,,,,,,P150A003
est_labor_white_b,,,,,,,,,,,,,P150A010
est_labor_black_a,,,,,,,,,,,,,P150B003
est_labor_black_b,,,,,,,,,,,,,P150B010
est_labor_aian_a,,,,,,,,,,,,,P150C003
est_labor_aian_b,,,,,,,,,,,,,P150C010
est_labor_asian_a,,,,,,,,,,,,,P150D003
est_labor_asian_b,,,,,,,,,,,,,P150D010
est_labor_nhopi_a,,,,,,,,,,,,,P150E003
est_labor_nhopi_b,,,,,,,,,,,,,P150E010
est_labor_other_a,,,,,,,,,,,,,P150F003
est_labor_other_b,,,,,,,,,,,,,P150F010
est_labor_multi_a,,,,,,,,,,,,,P150G003
est_labor_multi_b,,,,,,,,,,,,,P150G010
est_labor_hisp_a,,,,,,,,,,,,,P150H003
est_labor_hisp_b,,,,,,,,,,,,,P150H010
est_labor_white_nohisp_a,,,,,,,,,,,,,P150I003
est_labor_white_nohisp_b,,,,,,,,,,,,,P150I010
est_unemp_white_a,,,,,,,,,,,,,P150A007
est_unemp_white_b,,,,,,,,,,,,,P150A014
est_unemp_black_a,,,,,,,,,,,,,P150B007
est_unemp_black_b,,,,,,,,,,,,,P150B014
est_unemp_aian_a,,,,,,,,,,,,,P150C007
est_unemp_aian_b,,,,,,,,,,,,,P150C014
est_unemp_asian_a,,,,,,,,,,,,,P150D007
est_unemp_asian_b,,,,,,,,,,,,,P150D014
est_unemp_nhopi_a,,,,,,,,,,,,,P150E007
est_unemp_nhopi_b,,,,,,,,,,,,,P150E014
est_unemp_other_a,,,,,,,,,,,,,P150F007
est_unemp_other_b,,,,,,,,,,,,,P150F014
est_unemp_multi_a,,,,,,,,,,,,,P150G007
est_unemp_multi_b,,,,,,,,,,,,,P150G014
est_unemp_hisp_a,,,,,,,,,,,,,P150H007
est_unemp_hisp_b,,,,,,,,,,,,,P150H014
est_unemp_white_nohisp_a,,,,,,,,,,,,,P150I007
est_unemp_white_nohisp_b,,,,,,,,,,,,,P150I014